Hash,State,County,Population served,Water systems,Cities served,Water system per capita
North Dakota Botti,North Dakota,Bottineau County,5973,6,22,271.5
North Dakota Bowma,North Dakota,Bowman County,2100,3,3,700
North Dakota Burke,North Dakota,Burke County,1146,7,7,163.7142857
North Dakota Burle,North Dakota,Burleigh County,92203,4,12,7683.583333
North Dakota Caval,North Dakota,Cavalier County,4570,5,5,914
North Dakota Dicke,North Dakota,Dickey County,4858,5,8,607.25
North Dakota Divid,North Dakota,Divide County,1637,4,4,409.25
North Dakota Emmon,North Dakota,Emmons County,5570,4,6,928.3333333
North Dakota Foste,North Dakota,Foster County,2611,2,3,870.3333333
North Dakota Golde,North Dakota,Golden Valley County,1136,3,3,378.6666667
North Dakota Grand,North Dakota,Grand Forks County,69787,5,9,7754.111111
North Dakota Grant,North Dakota,Grant County,1224,3,5,244.8
North Dakota Grigg,North Dakota,Griggs County,3503,4,5,700.6
North Dakota Hetti,North Dakota,Hettinger County,1481,3,3,493.6666667
North Dakota Kidde,North Dakota,Kidder County,832,3,3,277.3333333
North Dakota LaMou,North Dakota,LaMoure County,2292,6,10,229.2
North Dakota Logan,North Dakota,Logan County,1102,2,2,551
North Dakota McHen,North Dakota,McHenry County,2390,6,7,341.4285714
North Dakota McInt,North Dakota,McIntosh County,1917,4,5,383.4
North Dakota McKen,North Dakota,McKenzie County,10257,3,26,394.5
North Dakota McLea,North Dakota,McLean County,8883,9,14,634.5
North Dakota Merce,North Dakota,Mercer County,10941,6,10,1094.1
North Dakota Morto,North Dakota,Morton County,29696,7,12,2474.666667
North Dakota Mount,North Dakota,Mountrail County,3185,3,5,637
North Dakota Nelso,North Dakota,Nelson County,4474,7,8,559.25
North Dakota Olive,North Dakota,Oliver County,738,1,2,369
North Dakota Pembi,North Dakota,Pembina County,7930,7,8,991.25
North Dakota Pierc,North Dakota,Pierce County,3994,1,3,1331.333333
North Dakota Ramse,North Dakota,Ramsey County,12745,3,4,3186.25
North Dakota Ranso,North Dakota,Ransom County,4856,3,5,971.2
North Dakota Renvi,North Dakota,Renville County,1405,3,3,468.3333333
North Dakota Richl,North Dakota,Richland County,15446,13,13,1188.153846
North Dakota Rolet,North Dakota,Rolette County,4226,4,10,422.6
North Dakota Sarge,North Dakota,Sargent County,2183,4,5,436.6
North Dakota Sheri,North Dakota,Sheridan County,478,2,2,239
North Dakota Sioux,North Dakota,Sioux County,243,2,2,121.5
North Dakota Slope,North Dakota,Slope County,136,1,1,136
North Dakota Stark,North Dakota,Stark County,33820,7,8,4227.5
North Dakota Steel,North Dakota,Steele County,799,3,3,266.3333333
North Dakota Stuts,North Dakota,Stutsman County,21938,7,10,2193.8
North Dakota Towne,North Dakota,Towner County,1342,3,3,447.3333333
North Dakota Trail,North Dakota,Traill County,7752,6,6,1292
North Dakota Walsh,North Dakota,Walsh County,9396,3,6,1566
North Dakota Wells,North Dakota,Wells County,6057,5,6,1009.5
North Dakota Willi,North Dakota,Williams County,37841,7,23,1645.26087
